time,throughput,inflight,rtt
2355,29,144800,37
2855,41,149144,28
3355,48,162176,26
3855,53,186792,26
4355,39,202720,39
4855,21,108600,69
5355,18,72400,45
5855,14,55024,41
6355,11,53576,41
6855,4,47784,93
7355,3,17376,102
7855,3,21720,60
8355,3,18824,59
8855,2,20272,62
9355,2,18824,60
9855,2,20272,60
10355,2,18824,60
10855,2,18824,66
11355,2,18824,67
11855,2,20272,69
12355,1,27512,65
12855,4,53576,81
13355,6,76744,83
13855,8,86880,82
14355,10,94120,77
14855,11,141904,93
15355,12,166520,103
15855,13,182448,103
16355,15,39096,80
16855,16,57920,27
17355,17,59368,28
17855,18,60816,27
18355,19,63712,27
18855,20,65160,28
19355,20,65160,28
19855,20,62264,28
20355,20,65160,27
20855,20,66608,27
21355,20,63712,27
21855,20,65160,28
22355,20,70952,28
22855,20,70952,27
23355,20,70952,27
23855,21,75296,27
24355,22,73848,27
24855,22,73848,27
25355,22,72400,28
25855,22,75296,27
26355,22,78192,27
26855,14,68056,18
27355,20,63712,26
27855,20,60816,25
28355,20,60816,25
28855,20,57920,25
29355,20,65160,25
29855,20,65160,25
30355,20,65160,26
30855,20,60816,26
31355,20,63712,25
31855,20,63712,25
32355,19,62264,26
32855,19,62264,26
33355,19,63712,25
33855,19,60816,26
34355,19,57920,26
34855,19,60816,26
35355,19,59368,26
35855,19,60816,25
36355,19,60816,26
36855,13,1448,23
37355,19,60816,24
37855,19,59368,26
38355,19,57920,26
38855,19,56472,26
39355,19,60816,26
39855,19,57920,25
40355,19,62264,25
40855,19,59368,25
41355,19,62264,25
41855,19,60816,25
42355,19,55024,25
42855,19,63712,25
43355,19,55024,25
43855,20,65160,25
44355,20,60816,25
44855,20,66608,26
45355,20,59368,25
45855,20,65160,25
46355,20,60816,25
46855,20,63712,25
47355,14,69504,18
47855,20,66608,26
48355,20,59368,25
48855,19,57920,25
49355,19,62264,25
49855,19,59368,26
50355,19,60816,25
50855,19,60816,25
51355,19,60816,26
51855,19,62264,26
52355,19,59368,26
52855,19,62264,26
53355,19,56472,26
53855,19,55024,26
54355,19,56472,26
54855,19,63712,26
55355,19,53576,26
55855,19,63712,26
56355,19,56472,26
56855,19,62264,26
57355,12,20272,23
57855,20,63712,22
58355,19,60816,25
58855,20,62264,25
59355,19,62264,25
59855,19,59368,25
60355,28,104256,21
60855,31,95568,24
61355,31,91224,24
61855,31,95568,24
