time,throughput,inflight,rtt
7171,14,1448,0
7671,41,1448,0
8171,43,0,0
8671,46,1448,0
9171,49,0,0
9671,51,0,0
10171,53,1448,0
10671,55,1448,0
11171,56,1448,0
11671,56,0,0
12171,56,0,0
12671,55,1448,0
13171,55,0,0
13671,53,0,0
14171,50,1448,0
14671,48,1448,0
15171,48,0,0
15671,40,0,0
16171,36,1448,0
16671,31,1448,0
17171,15,1448,0
17671,25,1448,0
18171,24,1448,0
18671,23,0,0
19171,23,1448,0
19671,22,1448,0
20171,22,1448,0
20671,22,0,0
21171,22,0,0
21671,22,0,0
22171,22,0,0
22671,21,0,0
23171,21,0,0
23671,21,0,0
24171,21,1448,0
24671,20,0,0
25171,20,0,0
25671,20,1448,0
26171,20,1448,0
26671,20,1448,0
27171,17,0,0
27671,15,0,0
28171,19,0,0
28671,20,5792,0
29171,20,1448,0
29671,20,0,0
30171,20,1448,0
30671,20,0,0
31171,19,0,0
31671,19,1448,0
32171,19,1448,0
32671,19,1448,0
33171,19,0,0
33671,19,0,0
34171,19,0,0
34671,19,0,0
35171,19,0,0
35671,19,1448,0
36171,19,1448,0
36671,19,1448,0
37171,19,0,0
37671,12,0,0
38171,18,0,0
38671,18,0,0
39171,19,1448,0
39671,19,0,0
40171,19,0,0
40671,19,0,0
41171,19,1448,0
41671,19,1448,0
42171,19,0,0
42671,19,0,0
43171,19,0,0
43671,19,1448,0
44171,19,1448,0
44671,19,1448,0
45171,19,0,0
45671,19,1448,0
46171,19,0,0
46671,19,0,0
47171,19,0,0
47671,16,0,0
48171,14,0,0
48671,18,1448,0
49171,18,1448,0
49671,19,1448,0
50171,18,1448,0
50671,19,1448,0
51171,19,1448,0
51671,19,0,0
52171,19,1448,0
52671,19,0,0
53171,19,1448,0
53671,19,0,0
54171,19,1448,0
54671,19,0,0
55171,19,0,0
55671,19,0,0
56171,19,1448,0
56671,19,0,0
57171,19,1448,0
57671,19,1448,0
58171,13,1448,0
58671,20,0,0
59171,20,0,0
59671,20,0,0
60171,20,0,0
60671,20,0,0
61171,23,0,0
61671,23,0,0
62171,23,0,0
62671,24,0,0
63171,38,0,0
63671,40,14480,0
64171,41,0,0
64671,41,0,0
65171,75,1448,0
65671,79,1448,0
66171,79,1448,0
66671,79,0,0
